company_id,name,founded_year,country
com_63accb6e,BBC Films,1975,UK
com_590a463e,Have No Fear Productions,1953,US
com_80ded74a,Summit Entertainment,1954,US
com_f52eeac7,Bold Films,1907,US
com_3b46b564,Lost Soul Productions,1970,US
com_084eefd9,Beijing Skywheel Entertainment,1958,US
com_a75f1083,Paramount Pictures,1964,US
com_a1450a0e,Magic Light Pictures,1947,UK
com_42156a42,i am OTHER,1992,US
com_30ba80a2,Cannon Films,1909,US
com_d2aee9f5,Channel Four Films,1950,IT
com_c90ebdff,British Broadcasting Corporati,1962,TW
com_125f6b3b,Dreamworks Pictures,1969,US
com_f09afc39,Metro-Goldwyn-Mayer (MGM),1990,US
com_f1be0245,Universal Pictures,1998,JP
com_ea7372bc,Guys Upstairs,1952,US
com_e2a5c2b8,STX Entertainment,1941,UK
com_0f72bbad,L.P. Film,1909,IT
com_e282cc70,Gulfstream Pictures,1943,US
com_0ee9f6aa,Zentropa Entertainments,1910,TW
com_52505f05,Innovisions,1956,US
com_ecf0b2a9,Delphi V Productions,1945,US
com_62405fc3,Vega Film,1996,FR
com_2252d763,Mosaic,2014,US
com_49923a8e,Screen Gems,1969,US
com_bbbb353f,Warner Bros.,1994,US
com_6361e181,Amblin Entertainment,1958,US
com_fb450889,PolyGram Filmed Entertainment,1969,CA
com_9fe3ea99,Twentieth Century Fox,1974,US
com_192cef4a,Huayi Brothers Pictures,1941,FR
com_b3a84654,Relativity Media,1940,US
com_1576f042,Richard Williams Productions,1935,UK
com_8376f4b5,JVC Entertainment Networks,1985,US
com_27363593,Touchstone Pictures,1943,US
com_cc74ff57,Allied Vision,1935,UK
com_2323d366,Orion Pictures,1932,US
com_48ec548e,Renn Productions,1975,FR
com_7e713446,Alliance Films,1903,US
com_d3a53ffa,Hickmar Productions,1944,US
com_7f6a2509,Virgin Vision,1958,US
com_9d7de9d9,Amazon Studios,1978,US
com_50991cb6,Carolco Pictures,1936,US
com_f3e496f8,Mandate Pictures,1924,US
com_5ecb5571,Walt Disney Pictures,1902,US
com_9838d1e8,Catalyst Global Media,1968,UK
com_01259cbc,The American Film Company,1946,US
com_938c978c,Non-Stop Productions,1956,TW
com_c19fc391,Nelson Entertainment,1958,US
com_05fc5456,AVCO Embassy Pictures,1951,US
com_0f0ffbb3,Hollywood Pictures,1901,US
com_7b2f2582,TriStar Pictures,1919,US
com_81d86e58,Columbia Pictures,1904,US
com_63fef4e4,Renaissance Pictures,1981,US
com_ffa5228e,WingNut Films,1973,DE
com_297d17c5,Major Studio Partners,1938,US
com_1aad5f84,Pan Arts,1981,US
com_b41e0bea,Cinereach,1996,US
com_9b263d09,James Glickenhaus,1943,US
com_e8b766ef,Cuba Pictures,1947,UK
com_74668dcc,The Cannon Group,1983,US
com_114b03ff,SF Studios Production AB,1950,JP
com_3db58bba,Hemdale,1939,US
com_57c4bfee,El Deseo,1951,ES
com_dca54564,Pacific Western,1985,US
com_fcdc011b,SLM Production Group,1953,US
com_1036ca25,New Oz Productions,1911,DE
com_dbb2d4d6,Kramer & Sigman Films,1975,US
com_c709f305,Evolution Entertainment,2000,US
com_acf94acd,Animal Logic,1900,US
com_96d37b05,Upside Down Films,1974,CA
com_e5a548ab,Canal+,1957,FR
com_603053a0,DIC Entertainment,1989,US
com_3af6de1e,Apocalypso Pictures,2001,UK
com_fe2e3801,New Line Cinema,1980,US
com_42f913f7,Broadway Pictures,1968,US
com_5f64651e,Davros Films,1910,US
com_31b8f7e9,Voltage Pictures,2007,US
com_abeb0b2f,Neverending Media,1963,TW
com_2ecff75d,Milkshake Films,1991,US
com_f03809d5,New World Pictures,1949,US
com_9755ac3d,DreamWorks Animation,1973,US
com_1d65e196,Gruskoff/Levy Company,1905,US
com_1a2f46b5,McFarlane Films,1972,US
com_04bcdf84,October Films,1910,US
com_524543d4,Carver Films,1926,CA
com_f9216a20,Outlaw Productions (I),1969,US
com_0be50d28,RKO Pictures,1947,US
com_d0aaffc2,Porchlight Films,1923,DE
com_4ed0f891,Big Cat Productions,1929,US
com_1a2ce9ae,GK Films,1920,US
com_8c8ffb9e,Film Four International,1900,UK
com_e1a46f2d,PalmStar Media,1995,US
com_2718f23a,CIP Filmproduktion GmbH,1912,DE
com_a465f0b9,Electric City Entertainment,1962,US
com_71de3bb6,Harpo Films,1903,US
com_5bf987ad,Permut Presentations,1950,US
com_e5fedb78,New Regency Productions,1984,US
com_d9c94a1e,Soapbox Films,1985,US
com_4c100b20,Open Road Films (II),1900,US
com_d115a0be,Nicolas Entertainment,1964,US
com_67fe9c89,DreamWorks,1974,US
com_5eb4df71,Ben-Ami/Leeds Productions,1960,US
com_ff996a76,Fifth Avenue Entertainment,1900,US
com_3fc3b28a,Art Linson Productions,1996,US
com_033322c5,The Malpaso Company,1933,US
com_4002b57d,Amercent Films,1905,US
com_0f7062f8,Cinerenta Medienbeteiligungs K,1970,US
com_3bb2dec6,Blurco,1909,US
com_4cd13788,Gaumont,2007,US
com_b83bf729,Caravan Pictures,1928,US
com_90679725,Fox Atomic,1993,US
com_43f5256a,The Weinstein Company,1947,US
com_7e63c1d3,Kyta Productions,1927,UK
com_b61b4146,Riverside Pictures,1908,TW
com_30f6844b,Ascendant Pictures,1983,US
com_35b787bc,Nova International Films,1933,US
com_5ddb96f8,MWM Studios,1933,UK
com_92dc41f0,Mandarin Films,1947,FR
com_50ef45ea,Penta Films,1935,US
com_b8fe5977,1978 Films,1969,US
com_99d1cc1d,Jet Tone Production,1941,FR
com_50a04ac4,Imagine Entertainment,1963,US
com_8adcdc8b,Fox Searchlight Pictures,1944,US
com_b6d03999,Baby Cow Productions,1987,UK
com_00980402,Braven Films,1920,ES
com_e1eca8dc,Bridgit Folman Film Gang,1981,FR
com_dc52eab9,Samuels Media,1994,US
com_12bb34a6,Dimension Films,1998,US
com_dbb92d26,ESX Entertainment,2010,US
com_bef54aad,British Screen Productions,1902,UK
com_15bd81b1,Bavaria Film,1926,DE
com_185b6218,ARTE,1961,ES
com_c33e6fff,Amasia Entertainment,1975,US
com_e5751ef5,Medusa Film,1967,IT
com_30ab89c7,Beacon Communications,1956,US
com_c5679a22,Fidélité Productions,1951,FR
com_6175c7bd,Disney Television Animation,1926,US
