company_id,movie_id
com_63accb6e,tt3722070
com_590a463e,tt0467110
com_80ded74a,tt2221640
com_f52eeac7,tt0425253
com_3b46b564,tt0218619
com_084eefd9,tt1121096
com_a75f1083,tt0091188
com_a1450a0e,tt1235189
com_42156a42,tt3850214
com_30ba80a2,tt0086192
com_d2aee9f5,tt0141974
com_c90ebdff,tt0105316
com_125f6b3b,tt1753383
com_f09afc39,tt0105046
com_f1be0245,tt3289724
com_ea7372bc,tt0113540
com_f09afc39,tt0114108
com_e2a5c2b8,tt1615160
com_0f72bbad,tt0097194
com_e282cc70,tt1086772
com_0ee9f6aa,tt7985692
com_52505f05,tt0083254
com_ecf0b2a9,tt0090693
com_62405fc3,tt0372824
com_2252d763,tt3009772
com_49923a8e,tt0989757
com_0ee9f6aa,tt0276919
com_bbbb353f,tt6802308
com_6361e181,tt0090357
com_fb450889,tt0084714
com_9fe3ea99,tt0107144
com_192cef4a,tt6791096
com_f1be0245,tt0080455
com_b3a84654,tt0064787
com_1576f042,tt0112389
com_8376f4b5,tt0118564
com_27363593,tt0098536
com_cc74ff57,tt0097263
com_2323d366,tt0095652
com_48ec548e,tt0098575
com_7e713446,tt2387433
com_d3a53ffa,tt0087746
com_7f6a2509,tt0095286
com_9d7de9d9,tt0460890
com_50991cb6,tt0102753
com_f1be0245,tt1905041
com_f3e496f8,tt0889573
com_a75f1083,tt0258038
com_5ecb5571,tt1444308
com_9fe3ea99,tt0311113
com_9838d1e8,tt6905696
com_d2aee9f5,tt0104291
com_01259cbc,tt0968264
com_938c978c,tt1645769
com_125f6b3b,tt0079080
com_5ecb5571,tt1509767
com_c19fc391,tt0101452
com_bbbb353f,tt0102138
com_05fc5456,tt0080749
com_0f0ffbb3,tt0103184
com_7b2f2582,tt0109480
com_81d86e58,tt0090022
com_81d86e58,tt0120716
com_bbbb353f,tt0479500
com_f1be0245,tt0095243
com_63fef4e4,tt0099365
com_f1be0245,tt0087065
com_ffa5228e,tt0103873
com_297d17c5,tt0080888
com_1aad5f84,tt0084917
com_27363593,tt0092718
com_b41e0bea,tt6303866
com_9b263d09,tt0084704
com_e8b766ef,tt4126438
com_a75f1083,tt0369339
com_74668dcc,tt0093964
com_114b03ff,tt5727282
com_3db58bba,tt0098577
com_f09afc39,tt0377471
com_57c4bfee,tt0101026
com_dca54564,tt0105217
com_fcdc011b,tt0088944
com_1036ca25,tt0206226
com_dbb2d4d6,tt2381941
com_a75f1083,tt0091159
com_c709f305,tt0387564
com_acf94acd,tt4116284
com_2323d366,tt0085640
com_125f6b3b,tt0443489
com_f1be0245,tt0086154
com_96d37b05,tt1374992
com_e5a548ab,tt0106307
com_603053a0,tt0120645
com_f1be0245,tt6977338
com_3af6de1e,tt0382189
com_fe2e3801,tt0112883
com_fe2e3801,tt0494238
com_fe2e3801,tt0481369
com_42f913f7,tt0213790
com_5f64651e,tt0097243
com_bbbb353f,tt3104988
com_31b8f7e9,tt1726669
com_abeb0b2f,tt7549776
com_2ecff75d,tt0380389
com_f03809d5,tt0089208
com_f1be0245,tt0110216
com_9755ac3d,tt26743210
com_1d65e196,tt0105165
com_7b2f2582,tt0119738
com_bbbb353f,tt0476964
com_9fe3ea99,tt0083598
com_1a2f46b5,tt0120177
com_bbbb353f,tt0133093
com_bbbb353f,tt0977855
com_81d86e58,tt1284575
com_04bcdf84,tt0203755
com_524543d4,tt1680114
com_f9216a20,tt0098724
com_0be50d28,tt0120751
com_d0aaffc2,tt1703148
com_4ed0f891,tt7284204
com_1a2ce9ae,tt1243957
com_8c8ffb9e,tt0101595
com_63accb6e,tt0301199
com_f09afc39,tt3837166
com_e1a46f2d,tt7784604
com_2718f23a,tt0082934
com_bbbb353f,tt0120188
com_a465f0b9,tt3553976
com_71de3bb6,tt0427309
com_5bf987ad,tt0107594
com_e5fedb78,tt0770703
com_d9c94a1e,tt0019585
com_a75f1083,tt0457510
com_4c100b20,tt2312718
com_fe2e3801,tt7349950
com_d115a0be,tt0099994
com_67fe9c89,tt2119543
com_f1be0245,tt0322259
com_5eb4df71,tt0109015
com_74668dcc,tt0095626
com_ff996a76,tt0106557
com_3fc3b28a,tt0119051
com_033322c5,tt0088272
com_4002b57d,tt0092699
com_0f7062f8,tt0208874
com_3bb2dec6,tt15789472
com_4cd13788,tt1130988
com_b83bf729,tt0120701
com_9fe3ea99,tt0112602
com_90679725,tt0800069
com_43f5256a,tt0211933
com_7e63c1d3,tt8550208
com_b61b4146,tt0089153
com_30f6844b,tt0785077
com_f1be0245,tt0384793
com_35b787bc,tt0099575
com_81d86e58,tt0239948
com_5ddb96f8,tt3045616
com_f09afc39,tt0093693
com_92dc41f0,tt7957956
com_bbbb353f,tt0094921
com_50ef45ea,tt0105001
com_b8fe5977,tt4287320
com_99d1cc1d,tt0212712
com_90679725,tt1131734
com_50a04ac4,tt0098067
com_a75f1083,tt0250687
com_8adcdc8b,tt0171804
com_b6d03999,tt1740047
com_9fe3ea99,tt1396218
com_00980402,tt6108178
com_e1eca8dc,tt1185616
com_dc52eab9,tt0465538
com_12bb34a6,tt0160401
com_81d86e58,tt0406375
com_dbb92d26,tt7370952
com_bef54aad,tt0093727
com_bbbb353f,tt1253863
com_15bd81b1,tt0082096
com_185b6218,tt0159382
com_a75f1083,tt0120844
com_c33e6fff,tt2091935
com_fb450889,tt0116282
com_e5751ef5,tt0120857
com_30ab89c7,tt0119906
com_c5679a22,tt0211387
com_6175c7bd,tt0220099
com_81d86e58,tt1232200
com_7e27ed4b,tt0363589
com_377f46b4,tt0110116
com_154ea1a4,tt0083284
com_f09afc39,tt0174480
com_e796c892,tt0120797
com_881471b3,tt1032846
com_63accb6e,tt6968614
com_756e8259,tt0091024
com_60fc887d,tt5795144
com_fe3af10d,tt1650043
com_fe2e3801,tt0365885
com_12bb34a6,tt1262416
com_3db7c53a,tt1139668
com_5402a0c8,tt0105572
com_a75f1083,tt0146316
com_9bd806de,tt0111579
com_f1be0245,tt0103786
com_031923df,tt0091653
com_bef54aad,tt0091859
com_9cc386e2,tt6811018
com_1aee70e2,tt0298228
com_9fe3ea99,tt0101969
com_0dd58108,tt3498820
com_033322c5,tt28277817
com_81d86e58,tt0277371
com_81d86e58,tt0087332
com_a877741f,tt2872636
com_5402a0c8,tt0112571
com_487b63c0,tt14107334
com_1cc5fd85,tt0102800
com_58b676e5,tt0119717
com_db8c2bdb,tt2316411
com_125f6b3b,tt0477051
com_f68d0a83,tt0098635
com_654faed3,tt0188674
com_b83bf729,tt0115645
com_f68d0a83,tt0100157
com_f1be0245,tt0086250
com_bbbb353f,tt0087062
com_d05281f3,tt0090223
com_5ecb5571,tt0281373
com_4cd13788,tt0090563
com_09622493,tt1860213
com_7141c08c,tt0080539
com_a51c69a0,tt0105488
com_d71f2179,tt1229822
com_569a04f2,tt2674454
com_9569e661,tt15047880
com_81d86e58,tt2120120
com_c1e95995,tt0095990
com_cd1a9e5d,tt0120533
com_fe2e3801,tt0420294
com_27363593,tt0120032
com_c19d7a31,tt0089555
com_a75f1083,tt0085549
com_f1be0245,tt0090633
